Input N	 Execution Time	 Unit
16 	0.000019	s 
17 	0.000021	s 
18 	0.000029	s 
19 	0.000028	s 
20 	0.000029	s 
21 	0.000030	s 
22 	0.000030	s 
23 	0.000030	s 
24 	0.000032	s 
25 	0.000034	s 
26 	0.000042	s 
27 	0.000041	s 
28 	0.000043	s 
29 	0.000045	s 
30 	0.000049	s 
31 	0.000045	s 
32 	0.000046	s 
33 	0.000338	s 
34 	0.000051	s 
35 	0.000060	s 
36 	0.000058	s 
37 	0.000059	s 
38 	0.000061	s 
39 	0.000059	s 
40 	0.000061	s 
41 	0.000083	s 
42 	0.000068	s 
43 	0.000069	s 
44 	0.000074	s 
45 	0.000073	s 
46 	0.000075	s 
47 	0.000074	s 
48 	0.000080	s 
