Input N	 Execution Time	 Unit
1 	0.000141	s 
2 	0.000141	s 
3 	0.000137	s 
4 	0.000145	s 
5 	0.000142	s 
6 	0.000151	s 
7 	0.000132	s 
8 	0.000143	s 
9 	0.000148	s 
10 	0.000144	s 
11 	0.000146	s 
12 	0.000141	s 
13 	0.000146	s 
14 	0.000145	s 
15 	0.000144	s 
16 	0.000140	s 
17 	0.000145	s 
18 	0.000146	s 
19 	0.000136	s 
20 	0.000142	s 
21 	0.000144	s 
22 	0.000140	s 
23 	0.000150	s 
24 	0.000145	s 
25 	0.000149	s 
26 	0.000143	s 
27 	0.000139	s 
28 	0.000145	s 
29 	0.000147	s 
30 	0.000146	s 
31 	0.000149	s 
32 	0.000147	s 
