Input N	 Execution Time	 Unit
1 	0.000002	s 
2 	0.000003	s 
3 	0.000003	s 
4 	0.000002	s 
5 	0.000003	s 
6 	0.000004	s 
7 	0.000004	s 
8 	0.000005	s 
9 	0.000007	s 
10 	0.000007	s 
11 	0.000006	s 
12 	0.000005	s 
13 	0.000005	s 
14 	0.000005	s 
15 	0.000004	s 
16 	0.000006	s 
17 	0.000007	s 
18 	0.000007	s 
19 	0.000006	s 
20 	0.000010	s 
21 	0.000009	s 
22 	0.000008	s 
23 	0.000007	s 
24 	0.000007	s 
25 	0.000009	s 
26 	0.000009	s 
27 	0.000006	s 
28 	0.000005	s 
29 	0.000010	s 
30 	0.000007	s 
31 	0.000006	s 
32 	0.000007	s 
